^FINANCIAL,10/20/2016,1831.48,1858.02,1826.48,1852.09,1073905,152340
AUB,10/20/2016,47.6,47.6,47.25,47.6,43900,1493980
BDO,10/20/2016,113.4,115.8,112.6,115.1,2621860,188826463
BPI,10/20/2016,102.1,104.9,102.1,104.1,1199880,984359
CHIB,10/20/2016,37.9,38,37.9,38,12500,0
CSB,10/20/2016,9,9,9,9,100,0
EW,10/20/2016,19.66,19.7,19.6,19.68,129000,1078292
MBT,10/20/2016,86,87.15,86,86.95,2714210,-15759306
PBB,10/20/2016,14.1,14.2,14.1,14.18,117500,163070
PNB,10/20/2016,57.9,57.9,56.5,57.65,2600,88288
PSB,10/20/2016,96.85,99.8,96.85,99.8,40,0
PTC,10/20/2016,153,154,153,154,3460,0
RCB,10/20/2016,37.95,37.95,37,37,55600,1029510
SECB,10/20/2016,230.2,235.6,227,231.2,1505770,-24157452
UBP,10/20/2016,75.2,75.25,75.05,75.2,56970,1586298
AGF,10/20/2016,3.45,3.59,3.45,3.59,11000,0
BKR,10/20/2016,1.38,1.41,1.35,1.38,127000,0
BLFI,10/20/2016,3.9,3.9,3.9,3.9,2000,0
COL,10/20/2016,16.5,16.6,16.2,16.22,84400,0
FFI,10/20/2016,6.85,6.85,6.85,6.85,100,0
MED,10/20/2016,0.86,0.86,0.81,0.81,21837000,-2993340
MFC,10/20/2016,675,675,675,675,20,0
NRCP,10/20/2016,0.9,0.9,0.89,0.89,21000,0
SLF,10/20/2016,1495,1500,1490,1490,1260,0
V,10/20/2016,1.44,1.44,1.44,1.44,1000,0
^INDUSTRIAL,10/20/2016,11858.22,11883.2,11789.09,11877.42,1562200,130631
ACR,10/20/2016,1.5,1.5,1.48,1.5,851000,0
AP,10/20/2016,46.2,46.25,45.25,45.9,867800,-16712155
EDC,10/20/2016,5.96,5.97,5.89,5.96,6124400,13971099
FGEN,10/20/2016,23.85,23.9,23.45,23.6,432500,-597075
FPH,10/20/2016,70.9,71,70.65,70.85,170550,-10181178
MER,10/20/2016,286.8,291.8,286.8,290.8,530520,-87000348
MWC,10/20/2016,30.5,31.4,30.5,31.05,9767900,67349165
PCOR,10/20/2016,10.58,10.78,10.54,10.56,4429200,-1184764
PHEN,10/20/2016,2.27,2.27,2.18,2.18,855000,-820280
PNX,10/20/2016,5.96,6,5.96,5.96,763800,-660000
ANI,10/20/2016,3.9,3.93,3.76,3.79,2741000,0
BMM,10/20/2016,128,146,90,100.2,22440,-711285
CAT,10/20/2016,195,195,195,195,110,0
CNPF,10/20/2016,16.36,16.98,16.3,16.98,3079300,6013687
DMPL,10/20/2016,12.28,12.28,12.1,12.28,25000,0
DNL,10/20/2016,11.5,11.54,11.26,11.4,1028400,3976658
EMP,10/20/2016,7.38,7.38,7.35,7.36,1493900,-9470119
FOOD,10/20/2016,0.91,0.93,0.9,0.91,846000,0
GSMI,10/20/2016,12.4,12.4,12.2,12.3,7400,0
JFC,10/20/2016,250,250,241.8,248.2,360100,18928894
LFM,10/20/2016,90,95,75,94,1720,-31282
MACAY,10/20/2016,26.5,27.85,26.5,27.85,1000,0
MAXS,10/20/2016,28.8,28.8,28.35,28.5,312000,-7198540
PF,10/20/2016,217.2,220,217.2,220,2840,0
PIP,10/20/2016,3.1,3.11,3.1,3.1,10906000,4071350
RCI,10/20/2016,2.2,2.2,2.2,2.2,6000,0
RFM,10/20/2016,4.21,4.21,4.2,4.2,19000,0
ROX,10/20/2016,3.3,3.3,3.23,3.23,17000,0
SFI,10/20/2016,0.145,0.148,0.145,0.148,3230000,22050
URC,10/20/2016,185,186,184,186,2279450,141214488
